,Address,Routed Interface
0,all,AV-vlan102 inside iptv
1,host-10.128.2.81,inside
2,host-10.128.8.122,inside
3,host-10.128.9.98,inside
4,host-10.128.9.109,inside
5,host-10.128.3.105,inside
6,host-10.128.8.123,inside
7,host-10.128.16.110,inside
8,host-10.128.8.101,inside
9,N02013_SGHBF-SECFIO102_IPTV,iptv
10,host-158.33.76.0,AV-vlan102
11,hoewaa281_10.128.1.100,inside
12,hoewaa280_10.128.1.74,inside
13,DALAPP138-10.216.181.16,inside
14,net-158.33.19.242n32,AV-vlan102
15,net-158.33.19.241n32,AV-vlan102
16,net-158.33.19.240n32,AV-vlan102
17,net-0.0.0.0n0,AV-vlan102 inside iptv
18,net-158.35.215.36n32,inside
19,net-172.19.17.21n32,inside
20,net-192.168.13.202n32,inside
21,net-172.25.21.5n32,inside
22,net-10.128.128.34n32,inside
23,net-10.159.217.6n32,inside
24,net-10.1.4.11n32,inside
25,net-10.1.4.12n32,inside
26,net-142.38.0.0n16,inside
27,net-159.131.0.0n16,inside
28,net-192.75.0.0n16,inside
29,net-158.33.0.0n16,AV-vlan102 inside
30,net-198.43.0.0n16,inside
31,net-172.25.0.0n16,inside
32,net-158.26.0.0n16,inside
33,net-144.201.0.0n16,inside
34,net-172.21.0.0n16,inside
35,net-158.29.0.0n16,inside
36,net-142.37.0.0n16,inside
37,net-161.157.16.0n23,inside
38,net-158.31.0.0n16,inside
39,net-158.24.0.0n16,inside
40,net-192.67.48.0n24,inside
41,net-172.26.0.0n16,inside
42,net-172.19.0.0n16,inside
43,net-146.156.0.0n16,inside
44,net-198.160.0.0n16,inside
45,net-158.55.0.0n16,inside
46,net-158.28.0.0n16,inside
47,net-172.22.0.0n16,inside
48,net-172.18.0.0n16,inside
49,net-161.157.100.0n23,inside
50,net-192.168.133.38n32,inside
51,net-158.25.0.0n16,inside
52,net-172.17.0.0n16,inside
53,net-158.35.0.0n16,inside
54,net-158.32.0.0n16,inside
55,net-10.0.0.0n8,inside
56,net-172.16.0.0n16,inside
57,net-172.27.0.0n16,inside
58,net-158.34.0.0n16,inside
59,net-172.28.0.0n16,inside
60,net-192.83.0.0n16,inside
61,net-158.22.0.0n16,inside
62,net-158.21.0.0n16,inside
63,net-172.23.0.0n16,inside
64,net-172.30.0.0n16,iptv
65,net-150.25.0.0n16,inside
66,net-192.92.0.0n16,inside
67,net-172.20.0.0n16,inside
68,net-159.129.0.0n16,inside
69,net-172.29.0.0n16,inside
70,net-158.23.0.0n16,inside
71,net-172.24.0.0n16,inside
72,net-158.27.0.0n16,inside
73,net-159.70.0.0n16,inside
74,net-172.31.0.0n16,inside
75,net-131.126.0.0n16,inside
76,net-158.30.0.0n16,inside
77,net-10.196.66.16n32,inside
78,net-10.215.169.10n32,inside
79,net-10.215.169.11n32,inside
80,net-10.215.169.14n32,inside
81,net-10.216.169.10n32,inside
82,net-172.19.32.70n32,inside
83,net-172.19.32.72n32,inside
84,net-172.21.144.10n32,inside
85,net-172.21.144.11n32,inside
86,net-10.216.169.11n32,inside
87,net-10.216.169.12n32,inside
88,net-10.216.190.192n32,inside
89,net-10.216.190.113n32,inside
90,net-10.216.190.58n32,inside
91,net-10.216.190.179n32,inside
92,net-10.216.190.84n32,inside
93,net-10.216.190.91n32,inside
94,net-131.126.239.98n32,inside
95,net-10.215.168.5n32,inside
96,net-10.216.168.10n32,inside
97,net-158.35.215.41n32,inside
98,net-10.128.6.66n32,inside
99,net-10.128.16.68n32,inside
100,net-10.128.16.80n32,inside
101,net-10.128.16.114n32,inside
