,AddrGrp,Routed Interface
0,N02008_sghbffic02_Outside-Network-Devices,AV-vlan102
1,N02008_GLOBAL_NESTED-Outside-Network-Devices,AV-vlan102
2,N02008_GLOBAL_ANY,AV-vlan102 inside iptv
3,N02008_GLOBAL_ACS-Server,inside
4,DNS_ANYCast,inside
5,N2008-net-devices-outside,AV-vlan102 inside iptv
6,N02008_GLOBAL_NetScout-Server,inside
7,N02008_GLOBAL_EMIT2-ADDM,inside
8,N02008_GLOBAL_TFTP-Server,inside
9,N02008_GLOBAL_EMIT2-BNA,inside
10,N02008_GLOBAL_NTP-Server,inside
11,N02008_GLOBAL_SYSLOG-Server,inside
12,N02008_GLOBAL_NetScout-Collector,inside
13,N02008_ISE-NDA-VIPS,inside
14,N02008_GLOBAL_VitalNet-Server,inside
15,N02012_sghbffic02_Outside_AV_Room_scheduler,AV-vlan102
16,N02012_Global_Nested_Outside_AV_Room_scheduler,AV-vlan102 inside
17,N02013_GLOBAL_App_Space_Web_svrs,inside
18,N02013_sghbffic02_IPTV,AV-vlan102
19,N02012_GLOBAL_Terminal-servers,inside
20,N02012_GLOBAL-Fusion-Application-Servers,inside
21,N02012_sghbffic02_Outside-AV-Routers,AV-vlan102
22,N02012_Global_Nested_Outside_AV_Routers,AV-vlan102
23,N02013_GLOBAL_Nested_Outside_IPTV,AV-vlan102
24,N02013_GLOBAL_DMM_svrs,inside
25,N02008_GLOBAL_NetCollector_Server,inside
26,N02008_GLOBAL_ADDM_IP,inside
27,XOM_INTERNAL_NETWORKS,AV-vlan102 inside iptv
28,AV_Subnet_SGHBF-SECFIO102,AV-vlan102
29,N02012_TERMINAL_SERVER,inside
30,N02008_GLOBAL-OPENNMS,inside
31,N02013_AV_GLOBAL_DHCP_Servers,inside
32,N02013_AV_GLOBAL_Support_Terminal_Servers,inside
33,N02013_AV_GLOBAL_NTP_Servers,inside
34,N02013_AV_GLOBAL_DNS_Servers,inside
